"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez" "year" "yearce"
-48.9 -44.46 -30.01 -15.32 1.94 8.64 13.14 9.74 0.95 -12.3 -33.73 -39.26 24881 -22931
-46.95 -41.49 -28.23 -13.12 -1.16 6.43 12.39 13.05 3.23 -14.25 -34.08 -44.48 24880 -22930
-45.05 -46.54 -27.78 -16.92 -3.98 4.77 12.55 10.36 0.09 -17.35 -36.78 -44.56 24879 -22929
-40.55 -41.44 -29.35 -14.54 -3.65 7.94 11.55 10.39 0 -15.58 -33.72 -39.91 24878 -22928
-47.55 -44.39 -27.57 -17.4 -0.75 8.21 12.73 7.38 -1.33 -12.6 -34.76 -40.73 24877 -22927
-43.11 -37.21 -24.54 -15.2 -2.13 6.93 12.85 9.18 2.48 -12.82 -34.43 -44.26 24876 -22926
-41.49 -42.16 -28.47 -15.11 -1.34 8.77 13.19 10.67 1.73 -12.26 -29.28 -37.33 24875 -22925
-38.63 -34.44 -25.15 -13.02 -2.09 11.8 13.12 10.81 0.88 -12.92 -31.96 -45.7 24874 -22924
-40.31 -34.92 -26.88 -15.22 -4.85 1.77 15.51 12.11 3.39 -11.98 -35.15 -40.84 24873 -22923
-44.2 -41.12 -27.21 -14.79 -3.45 7.96 9.93 11.43 5.05 -15.94 -30.93 -39.89 24872 -22922
-40.75 -40.53 -25.82 -11.56 -1.48 8.9 12.81 8.66 0.62 -16.44 -33.28 -41.87 24871 -22921
-41.79 -43.83 -30.87 -14.78 -1.26 9.46 17.1 11.25 2.7 -16.36 -33.56 -41.1 24870 -22920
-41.88 -36.43 -24.18 -15.24 -0.96 9.55 11.2 11.31 0.17 -14.07 -31.99 -44.9 24869 -22919
-45.46 -41.24 -29.81 -16.48 -3.83 6.1 11.11 9.81 3.6 -16.17 -35.79 -46.23 24868 -22918
-42.94 -43.27 -29.84 -15.43 -1.7 6.72 12.35 10.55 -0.11 -16.56 -39.59 -43.07 24867 -22917
-37.16 -33.46 -27.04 -16.75 -1.83 9.91 11.27 9.4 2.26 -15.37 -30.1 -37.78 24866 -22916
-47.18 -48.14 -28.84 -15.66 -6.41 10.28 13.51 11.09 0.3 -14.72 -27.92 -41.41 24865 -22915
-43.16 -39.73 -27.26 -14.04 -0.77 8.43 14.17 11.01 1.45 -14.56 -34.08 -44.9 24864 -22914
-44.7 -41.39 -27.58 -18.3 -3.6 10.39 14.53 10.07 0.22 -18.52 -39.58 -39.35 24863 -22913
-45.67 -34.37 -25.95 -14.16 2.15 9.06 14.06 11.73 4.17 -14.32 -32.55 -43.04 24862 -22912
-45.73 -41.99 -26.8 -12.4 -1.66 10.73 14.8 10.35 0.61 -15.82 -36.86 -45.45 24861 -22911
-43.43 -39.29 -25.96 -14.22 -4.59 5.96 14.12 9.7 1.31 -11.19 -37.99 -44.04 24860 -22910
-41.42 -35.52 -30.02 -16.43 -2.75 8.73 14.36 11.92 3.39 -15.19 -32.32 -43.1 24859 -22909
-46.72 -41.44 -26.44 -14.53 -3.03 3.49 12.61 10.78 -0.97 -13.97 -33.6 -43.11 24858 -22908
-45.4 -42 -28.44 -14.46 -0.37 7.5 13.93 10.16 2.38 -15.9 -39.1 -47.01 24857 -22907
-37.61 -36.75 -24.61 -12.61 -1.09 8.05 14.94 9.94 -0.37 -17.65 -36.72 -44.77 24856 -22906
-38.71 -42.47 -28.86 -16.02 -0.06 8.31 13.3 10.43 0.44 -17.14 -33.32 -43.06 24855 -22905
-45.89 -41.27 -30.14 -12.25 0.19 5.88 12.78 8.67 0.8 -18.12 -34.67 -48.36 24854 -22904
-39.98 -38.94 -27.44 -18.8 -4.17 4.96 12.87 11.07 0.49 -12.62 -32.62 -43.21 24853 -22903
-40.35 -33.16 -31.08 -19.11 0.47 11.49 14.97 13.06 2.41 -17.8 -40.87 -43.57 24852 -22902
-37.21 -38.67 -28.58 -16.12 -5.46 7.57 14.56 10.28 0.96 -15.56 -38.54 -45.73 24851 -22901
-42.63 -32.44 -28.97 -17.96 -0.6 10.89 15.01 13.94 3.31 -13.38 -30.72 -38.76 24850 -22900
-39.25 -37.58 -25.97 -16.28 -3.9 8.22 14.51 12.84 1.36 -10.93 -28.95 -42.78 24849 -22899
-43 -35.08 -27.5 -17.11 -2.71 11.52 15.69 10.01 -0.86 -14.77 -34.36 -43.82 24848 -22898
-47.84 -47.4 -26.25 -11.21 -1.17 10.35 12.85 12.07 3.37 -12.39 -34.78 -37.9 24847 -22897
-42.44 -39.78 -28.34 -15.84 -1.45 10.92 14.18 12.06 0.43 -16.22 -36.08 -41.74 24846 -22896
-45.76 -38.98 -30.09 -16.57 -2.15 9.4 13.77 11.25 0.97 -16.68 -37.02 -43.74 24845 -22895
-40.51 -41.94 -27.02 -14.98 -4.81 4.51 12.71 12.49 1.82 -15.22 -30.57 -40.93 24844 -22894
-41.93 -40.49 -25.69 -16.71 -4.08 8.76 13.77 10.99 2.73 -13.84 -34.01 -41.55 24843 -22893
-41.88 -42.42 -29.29 -12.39 -2 6.27 13.66 10.73 1.46 -17.67 -38.59 -42.89 24842 -22892
-47.9 -33.8 -24.45 -12.98 -2.25 7.47 12.24 9.48 2.35 -13.4 -31.1 -42.29 24841 -22891
-38.72 -35.13 -25 -12.36 -0.69 9.14 12.55 10.08 0.56 -18.41 -33.47 -43.86 24840 -22890
-43.71 -38.96 -27.06 -15.57 -3.87 5.87 12.89 6.87 2.07 -17.88 -35.08 -45.45 24839 -22889
-41.5 -38.51 -27.33 -15.22 -1.26 4.64 11.5 12.3 2.1 -13.08 -33.12 -42.17 24838 -22888
-47.08 -45.72 -26.06 -15.79 3.31 11.62 13.74 11.29 2.74 -15.82 -32.6 -47.22 24837 -22887
-51.2 -40.63 -30.39 -16.33 0.31 8.4 13.38 9.09 -1.14 -14.32 -33.91 -43.06 24836 -22886
-45.57 -37.32 -30.45 -15.37 -3.01 7.67 14.18 7.71 0.28 -19.57 -35.56 -41.28 24835 -22885
-39.72 -41.65 -23.24 -13.96 0.42 7.07 11.7 9.1 -1.26 -14.56 -40.08 -43.16 24834 -22884
-45.03 -41.71 -27.94 -18.43 -2.34 6.78 11.02 8.07 0.02 -16.33 -36.18 -44.95 24833 -22883
-41.86 -41.01 -29.51 -15.34 -0.55 9.43 12.61 11.26 3.16 -17.05 -38.98 -43.28 24832 -22882
-39.29 -39.18 -32.55 -16.07 -1.13 8.33 13.99 9.83 0.86 -18.93 -36.05 -38.71 24831 -22881
-45.49 -33.59 -26.2 -16.08 0.51 10.92 15.12 11.41 2.39 -11.64 -34.94 -42.78 24830 -22880
-46.91 -39.73 -29.85 -15.66 -2.37 8.31 12.82 11.46 3.97 -16.07 -35.67 -45.91 24829 -22879
-45.11 -39.86 -26.9 -17.49 -2.74 6.81 10.55 10.08 -1.12 -17.2 -34.91 -44.77 24828 -22878
-43.53 -33.47 -25.98 -10.57 -3.5 -1.23 11.56 9.37 2.1 -16.34 -33.48 -38.92 24827 -22877
-46.21 -40.76 -33.65 -17.08 -2.87 6.23 11.51 12.04 -2.03 -18.49 -35.94 -44.77 24826 -22876
-37.77 -39.22 -32.53 -15.78 -1.71 4.67 12.3 13.22 5.05 -15.9 -32.94 -44.95 24825 -22875
-45.87 -33.83 -25.62 -13.11 -0.77 8.37 15.06 10.09 -2.39 -12.17 -33.5 -46.92 24824 -22874
-44.82 -44.51 -25.39 -17.37 -4.56 6.87 12.23 8.96 1.19 -13.32 -38.4 -47.53 24823 -22873
-47.23 -38.31 -30.58 -15.52 -3.19 11.52 14.21 7.73 0.73 -14.35 -33.17 -44.99 24822 -22872
-43.99 -42.55 -22.43 -15.07 -5.23 3.69 12.67 11.17 -0.57 -16.66 -34.52 -42.22 24821 -22871
-46.14 -37.05 -31.36 -14.74 -3.1 9.45 10.16 12.26 -3.52 -16.38 -37.7 -40.64 24820 -22870
-39.25 -35.77 -25.79 -16.46 -2.06 5.58 10.62 9.2 -1.86 -17.37 -35.67 -41.11 24819 -22869
-42.94 -39.45 -30.6 -14.02 -2.67 2.34 12.44 12.04 -0.32 -15.95 -34.69 -42.46 24818 -22868
-41.81 -38.79 -27.57 -16.89 -1.24 9.84 14.3 9.09 1.98 -16.38 -33.74 -37.1 24817 -22867
-39.04 -39.86 -28.2 -12.65 0.52 6.8 15.65 13.52 1.58 -17.25 -37.5 -38.96 24816 -22866
-44.97 -39.18 -27.12 -16.85 -4.38 4.37 12.8 8.92 0.39 -15.4 -37.16 -42.37 24815 -22865
-39.12 -39.25 -29.32 -15.43 -2.44 3.46 13.78 7.61 -0.46 -12.39 -30.57 -37.58 24814 -22864
-43.44 -39.63 -31.65 -15.66 -0.79 6.71 14.27 11.42 1.56 -13.66 -30.44 -42.06 24813 -22863
-41.32 -39.94 -29.46 -14.5 -1.9 7.49 13.23 11.5 1.46 -15.36 -38.44 -39.66 24812 -22862
-41.84 -41.96 -26.95 -12.64 -3.38 6.78 10.52 11.52 2.15 -12.87 -34.04 -42.49 24811 -22861
-38.87 -41.08 -23.02 -15.45 0.38 9.32 12.8 10.25 0.38 -13.68 -40.12 -35.78 24810 -22860
-44.43 -44.62 -26.32 -14.2 0.45 4.45 14.44 12.77 -0.48 -14.97 -37.65 -45.57 24809 -22859
-47.28 -42.59 -26.21 -11.42 2.18 8.64 14.57 12.04 1.86 -14.79 -40.03 -45.91 24808 -22858
-42.04 -36.14 -27.27 -17.26 0.36 7.44 10.9 9.73 1.31 -15.95 -37.63 -44.61 24807 -22857
-44.7 -41.33 -31.92 -13.5 -0.91 9.71 12.2 7.69 2.21 -16.57 -30.77 -42.86 24806 -22856
-42.99 -37.9 -24.33 -16.25 -2.6 5.22 10.94 9.03 0.72 -15.95 -31.67 -42.29 24805 -22855
-39.45 -39.32 -29.54 -17.05 -3.91 6.47 12.55 10.27 1.86 -14.66 -35.99 -42.14 24804 -22854
-40.55 -39.55 -23.34 -19.04 -0.12 3.79 12.32 11.73 2.26 -11.49 -31.95 -42.6 24803 -22853
-39.39 -39.2 -28.47 -13.25 0.2 6 13.16 10.31 3.3 -18.52 -34.73 -44.04 24802 -22852
-44.62 -41.95 -29.27 -15.43 -0.85 10.88 12.25 8.72 2.99 -13.53 -33.01 -47.36 24801 -22851
-41.23 -32.66 -30.56 -16.77 -0.69 9.62 13.73 9.64 -3.82 -15.75 -34.63 -39.71 24800 -22850
-47.53 -36.89 -30.44 -18.21 -3.44 4.75 13.9 11.97 2.23 -13.17 -34.33 -43.38 24799 -22849
-44.24 -40.16 -27.52 -13.63 1.46 7.27 14.06 11.51 1.32 -15.05 -34.61 -44.68 24798 -22848
-44.89 -37.77 -25.69 -14.85 -1.22 4.94 14.92 11.03 3.9 -11.65 -30.6 -38.5 24797 -22847
-43.31 -45.96 -30.23 -15.65 -3.6 10.51 14.11 10.27 2.15 -14.82 -32.45 -45.43 24796 -22846
-42.12 -39.09 -28.31 -14.2 0.08 8.94 12.62 9.73 3.26 -14.16 -36.58 -43.9 24795 -22845
-43.88 -38.25 -27.34 -14.12 -0.09 6.82 11.36 10.75 1.95 -15.06 -34.77 -39.67 24794 -22844
-41.49 -36.29 -33.88 -16.28 -6.32 6.12 13.46 8.19 1.37 -14.94 -34.76 -41.05 24793 -22843
-48.83 -42.82 -30.96 -14.32 0.53 9.14 13.03 10.99 0.37 -17.44 -33.35 -42.43 24792 -22842
-43.78 -42.77 -27.54 -17.04 -4.24 6.94 9.99 9.68 -0.29 -12.27 -32.69 -38.67 24791 -22841
-50.57 -36.21 -27.33 -10.6 0.29 9.4 10.86 11.42 3.01 -18.57 -35.68 -39.14 24790 -22840
-38.97 -30.92 -24.44 -15.33 -2.64 7.09 9.63 9.62 1.58 -15.97 -34.78 -42.36 24789 -22839
-43.68 -40.52 -31.99 -16.12 -3.66 6.02 11.64 10.23 0.38 -14.82 -37.47 -46.36 24788 -22838
-43.4 -39.92 -30.28 -18.77 0.67 10.81 12.02 11.93 1.42 -15.53 -33.06 -50.58 24787 -22837
-44.66 -38.72 -30.89 -17.02 -6.89 3.64 14.49 10.39 -0.99 -16.14 -34.87 -41.69 24786 -22836
-44.08 -33.52 -25.67 -14.26 -1.15 9.39 14.62 11.9 1.04 -20.33 -36.78 -43.62 24785 -22835
-41.62 -40.02 -31.07 -15.1 -3.06 4.82 13.83 9.66 -0.53 -16.59 -34.14 -42.49 24784 -22834
-40.84 -38.68 -31.92 -16.72 -4.6 7.47 13.98 12.84 5.85 -14.5 -36.03 -42.49 24783 -22833
-43.04 -40.44 -28.21 -15.71 -0.92 8.92 14.3 10.86 1.99 -13.08 -32.18 -39.44 24782 -22832
-44.87 -40.78 -33.26 -17.65 -1.87 7.48 14.37 12.54 1.26 -14.04 -30.71 -47.1 24781 -22831
-39.12 -40.62 -30.03 -16.29 -3.95 5.72 11.78 8.82 1.42 -18.53 -39.9 -45.57 24780 -22830
-50.53 -43.82 -31.07 -17.95 -1.75 4.08 14.44 12.42 0.75 -13.52 -33.93 -46.13 24779 -22829
-53.48 -44.05 -28.82 -17.03 -2.32 0.93 12.84 10.7 4.54 -14.03 -30.61 -41.84 24778 -22828
-44.8 -39.92 -29.79 -18.92 -0.75 9.91 13.44 11.41 -2.45 -14.53 -35.47 -40 24777 -22827
-39.67 -37.74 -33.37 -15.32 -1.33 8.97 13.28 9.67 1.37 -17.33 -38.56 -46.57 24776 -22826
-48.49 -41.13 -30.22 -14.38 -7.57 7.44 11.95 9.2 5 -12.05 -32.11 -34.8 24775 -22825
-41.27 -38.87 -31.57 -19.53 -3.51 4.11 13.51 10.26 2.49 -15.15 -32.28 -43.6 24774 -22824
-44.34 -40.43 -26.36 -12.81 -3.83 2.74 13.03 12.12 2.01 -12.83 -35.7 -43.03 24773 -22823
-48.38 -41.08 -28.6 -17.05 -2.44 6.6 16.36 9.02 -0.56 -14.15 -37.71 -43.8 24772 -22822
-44.3 -35.71 -26.51 -14.65 -1.94 6.6 12.67 11.09 1.77 -17.88 -28.66 -44.45 24771 -22821
-46.77 -40.67 -29.43 -15.54 -5.86 5.15 14.97 11.29 -0.15 -12.73 -34.96 -45.52 24770 -22820
-39.76 -36.94 -25.44 -11.44 -3.48 7.04 16.33 13.32 1.54 -17.54 -32.48 -41.03 24769 -22819
-42.07 -39.43 -25.55 -15.71 -4.63 9.68 13.25 9.09 0.85 -16.66 -33.27 -45.21 24768 -22818
-41.37 -37.23 -28.25 -16.73 -0.77 7.82 11.17 7.55 1.05 -14.36 -34.89 -42.4 24767 -22817
-44.63 -43.34 -27.74 -16.83 -1.91 9.57 12.87 9.71 1.7 -16.93 -36.25 -46.6 24766 -22816
-39.04 -35.86 -31.73 -14.6 -2.76 7.03 11.71 10.35 0.14 -15.79 -37.65 -38.63 24765 -22815
-44.27 -38.26 -32.8 -15.81 -3.68 2.16 13.53 8.21 -5.48 -17.86 -32.87 -43.34 24764 -22814
-42.07 -43.73 -31.04 -14.21 -4.28 2.88 12.86 9.23 2.24 -13.65 -34.24 -47.77 24763 -22813
-42.86 -36.34 -25.53 -14.14 -5.67 5.42 12.25 8.09 -0.41 -15.57 -37.1 -38.67 24762 -22812
-44.93 -39.9 -28.19 -13.23 -3.83 -0.1 13.56 9.64 2.12 -13.35 -36.76 -44.98 24761 -22811
-42.27 -39.2 -30.61 -17.61 -7.5 7.73 12.77 9.47 1.22 -16.16 -38.46 -43.46 24760 -22810
-44.71 -39.72 -27.8 -15.09 -4.27 7.29 13.7 9.08 3.89 -16.2 -33.58 -43.9 24759 -22809
-44.98 -36.66 -27.61 -18.96 -6.55 3.2 11.31 9.94 1.63 -16.53 -37.17 -40.41 24758 -22808
-44.78 -42.98 -26.71 -10.33 -2.76 9.03 14.25 12.81 -1.51 -19.04 -36.78 -44.83 24757 -22807
-41.85 -39.45 -25.67 -15.43 -3.84 7.6 11.57 8.43 5.45 -18.75 -34.65 -35.82 24756 -22806
-45.2 -40.29 -28.24 -16.02 -3.67 10.62 13.85 12.65 0.94 -14.33 -35.36 -45.44 24755 -22805
-43.24 -37.69 -30.79 -17.17 -1.4 9.3 11.06 12.08 1.18 -17.07 -31.51 -45.88 24754 -22804
-41.32 -33.97 -24.72 -13.92 -1.81 5.03 14.46 9.8 3.3 -15.11 -33.72 -46.87 24753 -22803
-48 -43 -34.93 -15.97 -1.86 7.25 16.72 12.95 2 -16.52 -31.25 -40.72 24752 -22802
-37.74 -37.52 -33.41 -16.13 -1.35 7.53 14.08 9.21 3.43 -9.86 -31.13 -38.18 24751 -22801
-44.23 -37.42 -29.28 -16.93 -1.14 9.15 11.81 12.54 2.43 -14.09 -35.19 -40.51 24750 -22800
-39.9 -38.03 -28.4 -15.7 -4.31 9.28 13.62 11.89 3.14 -13.97 -33.69 -41.97 24749 -22799
-46.05 -37.5 -26.06 -12.81 -3.19 10.66 14.63 7.56 -1.43 -15.39 -34.02 -41.77 24748 -22798
-44.61 -40.82 -31.62 -16.03 0.77 6.64 12.82 11.21 -2.26 -16.81 -36.12 -47.47 24747 -22797
-46.88 -42.83 -26.4 -17.85 -3.58 5.13 12.39 9.16 1.24 -16.9 -35.68 -45.35 24746 -22796
-49.26 -46.13 -27.35 -16.3 -2.08 5.1 12.7 11.72 1.97 -14.33 -31.59 -44.57 24745 -22795
-40.39 -37.96 -26.4 -13.12 0.84 6.25 12.97 14.5 1.45 -16.14 -31.29 -35.76 24744 -22794
-40.4 -37.55 -26.34 -17.82 -2 6.53 12.43 10.55 -1.13 -11.85 -35.36 -43.55 24743 -22793
-41.5 -39.94 -27.03 -18.18 -3.42 4.75 13.28 7.58 1.97 -17.01 -36.41 -42.8 24742 -22792
-46.9 -41.87 -33.96 -17.44 -2.15 7.53 12.73 10.72 0.84 -16.08 -35.98 -45.42 24741 -22791
-43.43 -34.19 -28.44 -14.35 -0.4 8.05 15.27 10.58 0.52 -14.53 -35.56 -41.08 24740 -22790
-40.95 -38.16 -30.8 -15.02 -4.09 6.85 13.5 8.2 -0.63 -16.7 -30.74 -43.37 24739 -22789
-42.53 -35.51 -27.04 -15.05 -0.35 9.42 15.46 12.48 2.27 -16.76 -35.03 -37.88 24738 -22788
-40.58 -34.48 -27.95 -14.54 -2.8 8.57 13.16 10.81 2.31 -16.52 -31.96 -43.47 24737 -22787
-42.25 -38.44 -25.52 -10.23 -5.58 7.12 16.59 11.2 1.81 -12.38 -36.21 -46.86 24736 -22786
-43.32 -36.4 -31.45 -13.25 -0.32 8.54 13.82 6.92 0.05 -16.62 -39.75 -46.07 24735 -22785
-46.99 -37.73 -28.8 -16.17 -3.83 7.53 13.14 10.19 0.34 -14.96 -37.94 -42.58 24734 -22784
-48.58 -37.24 -31.46 -16.04 -0.84 4.36 13.05 11.98 0.36 -19.53 -36.06 -45.01 24733 -22783
-45.46 -38.02 -29.41 -14.23 -3.45 8.1 11.31 9.27 1.98 -18.87 -33.93 -50.6 24732 -22782
-47.92 -40.06 -28.14 -15.68 -2.51 8.39 15.39 10.78 2.05 -14.72 -38.03 -42.19 24731 -22781
-45.52 -34.64 -27 -11.64 -1.85 9.78 13.7 11.85 3.48 -18.75 -38.35 -41.75 24730 -22780
-44.14 -38.69 -30.43 -13.2 -2.82 8.94 12.47 10.58 1.17 -13.9 -33.78 -43.38 24729 -22779
-45.89 -40.79 -28.72 -13.19 -2.33 9.29 15.64 13.18 3.77 -13.41 -35.99 -42.65 24728 -22778
-49.96 -44.55 -29.98 -15.4 -4.26 5.44 12.59 8.31 -2.95 -26.3 -41.02 -41.71 24727 -22777
-44.56 -37.84 -23.88 -16.6 -0.82 3.55 14.22 9.86 0.4 -15.24 -32.32 -44.4 24726 -22776
-39.37 -36.22 -28.6 -15.59 -2.73 7.22 12.68 10.43 -0.49 -12.39 -37.23 -46.7 24725 -22775
-44.74 -46.27 -28.06 -16.89 -4.86 7.62 16.87 8.96 3.55 -15.46 -29.97 -41.49 24724 -22774
-40.67 -35.83 -32.45 -16.42 -1.75 9.04 12.21 10.44 0.97 -16.11 -34.39 -42.41 24723 -22773
-42.23 -36.46 -27.82 -13.01 2.3 12.25 15.65 10.54 0.18 -19.52 -33.07 -42.71 24722 -22772
-47 -38.13 -28.92 -16.57 -2.39 3.17 13.24 11.53 0.41 -16.08 -30.66 -42.43 24721 -22771
-38.25 -34.9 -29.79 -17.61 -0.5 10.73 13.82 10.86 2.18 -15.08 -31.92 -43.55 24720 -22770
-42.87 -40 -24.83 -17.71 -4.3 7.19 14.47 10.54 1.45 -15.19 -34.26 -43.82 24719 -22769
-41.12 -36.17 -29.1 -16.79 -3.64 7.7 15.12 12.06 -0.37 -18.58 -41.11 -48.68 24718 -22768
-47.41 -36.11 -28.73 -14.81 -0.91 5.99 13.07 9.96 1.32 -14.5 -38 -42.33 24717 -22767
-41.89 -36.94 -29.85 -16.29 -0.69 7.53 10.79 9.03 -3.2 -17.06 -34.84 -46.89 24716 -22766
-44.35 -42.04 -27.89 -13.5 0.81 7.75 13.59 10.08 -1.15 -14.68 -34.88 -38.52 24715 -22765
-45.37 -34.89 -28.5 -17.93 -5.11 5.22 12.02 10.47 1.13 -17 -36.42 -43.73 24714 -22764
-44.55 -37.87 -25.45 -16.2 -1.84 7.22 12.5 9.89 0.8 -18.9 -39.1 -40.43 24713 -22763
-43.22 -43.93 -26.5 -17.69 -2.87 8.02 14.4 9.92 0.36 -19.52 -32.73 -39.61 24712 -22762
-46.58 -41.88 -27.23 -17.28 -3.98 8.79 14.03 11.8 0.69 -15.11 -34.51 -42.44 24711 -22761
-40.51 -39.95 -20.24 -17.36 -3.19 8.16 12.09 11.32 2.84 -15.99 -37.76 -44.2 24710 -22760
-47.99 -42.5 -28.66 -19.34 -2.49 7.11 14.24 11.92 0.46 -16.23 -33.12 -44.92 24709 -22759
-40.83 -41.89 -26.75 -18.71 -4.57 5.18 15.3 8.92 -0.87 -12.8 -33.28 -46.67 24708 -22758
-44.17 -37.14 -27.12 -15.02 0.96 7.65 12.79 8.31 1.74 -18.58 -31.97 -41.97 24707 -22757
-48.05 -38.13 -27.11 -12.67 -3.03 6.59 13.18 10.58 2.53 -16.34 -35.03 -44.92 24706 -22756
-44.78 -46.74 -34.59 -16.48 -3.45 7.87 12.18 10.4 4.52 -10.23 -32.97 -46.28 24705 -22755
-43.9 -39.18 -27.58 -14.2 -3.53 6.78 16.07 11.28 2.41 -11.43 -37.06 -43.31 24704 -22754
-40.23 -42.06 -30.99 -13.93 -2.65 10.32 12.77 11.2 1.59 -13.34 -29.04 -36.4 24703 -22753
-48.69 -42.94 -28.31 -14.92 -1.23 11.16 12.56 9.39 1.76 -14.47 -37.6 -38.89 24702 -22752
-36.49 -38.96 -27.97 -18.64 -3.45 5.32 11.65 11.14 -2.15 -16.49 -35.83 -47.08 24701 -22751
-45.39 -44.98 -32.48 -16.22 -1.74 7.58 13.09 10.63 2.59 -17.54 -31.35 -41.59 24700 -22750
-41.06 -42.65 -31.25 -17 -3.53 0.74 11.91 10.53 2.49 -13.9 -38.24 -41.2 24699 -22749
-43.52 -41.86 -27.32 -16.36 -1.94 8.52 15.08 11.45 3.12 -10.04 -31.94 -43.58 24698 -22748
-39.4 -41.82 -29.42 -17.33 -2.58 8.67 16.33 12.16 4.6 -13.63 -32.68 -44.15 24697 -22747
-44.39 -38.79 -29.51 -17.74 -2.24 2.5 13.17 9.5 3.29 -17.54 -33.12 -46.24 24696 -22746
-43.42 -37.35 -27.66 -14.8 -1.51 7.34 13.51 12.34 1.7 -11.52 -34.59 -40.97 24695 -22745
-40.1 -42.51 -24.19 -13.76 -5.09 3.53 12.47 10.2 4.05 -12.88 -29.71 -47.29 24694 -22744
-42.11 -38.1 -29.2 -14.29 0.66 9.61 12.7 11.14 0.07 -14.62 -39.72 -48.53 24693 -22743
-45.39 -45.8 -29.34 -13.6 -4.78 6.59 12.07 8.35 3.35 -16.19 -32.92 -45.08 24692 -22742
-41.31 -40.85 -28.47 -16.12 -2.89 6.36 10.33 10.45 1.73 -13.74 -36.57 -43.72 24691 -22741
-40.67 -38.21 -32.88 -16.12 -3.66 8.21 12.38 11.89 2.45 -14.13 -37.15 -42.32 24690 -22740
-39.41 -35.06 -26.85 -13.83 -2.99 6.64 13.81 12.39 3.2 -13.23 -32.39 -38.09 24689 -22739
-43.97 -33.11 -26.18 -18.53 -0.7 11.26 12.33 11.91 1.72 -11.87 -35.15 -46.29 24688 -22738
-39.74 -39.26 -29.56 -13.92 -3.15 6.82 13.83 12.31 3.56 -14.39 -31.21 -44.16 24687 -22737
-40.37 -38.31 -24.93 -18.19 -1.44 7.94 13.84 11.11 1.98 -11.48 -32.7 -38.65 24686 -22736
-41.63 -38.29 -28.16 -15.15 -1.51 9.66 13.52 9.62 -0.73 -13.49 -35.78 -47.11 24685 -22735
-40.92 -36.48 -30.28 -18.08 -3.26 9.07 9.62 10.95 0.67 -15.9 -33.91 -41.93 24684 -22734
-44.21 -38.99 -28.66 -14.84 -3.16 10.41 14.32 11.26 0.39 -12.46 -39.12 -42.11 24683 -22733
-41.15 -42.5 -31.74 -17.19 -1.45 9.37 12.8 11.63 0.06 -18.89 -35.75 -43.07 24682 -22732
-43.03 -36.5 -25.58 -15.19 -6.34 3.04 13.4 12.74 2.87 -13.52 -33.31 -43.15 24681 -22731
